track,rate_metric,rate_label,pixel_rate_px_s,target_speed_mph,target_speed_mps,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_80mph_m,implied_slant_range_for_80mph_nm
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,8.0,1920,0.008642071,4138.3,2.234
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,10.0,1920,0.010802588,3310.6,1.788
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,20.0,1920,0.021605176,1655.3,0.894
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,0.5,1920,0.000374105,95596.7,51.618
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,1.0,1920,0.00074821,47798.4,25.809
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,2.0,1920,0.00149642,23899.2,12.905
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,4.0,1920,0.00299284,11949.6,6.452
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,8.0,1920,0.005985679,5974.8,3.226
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,10.0,1920,0.007482099,4779.8,2.581
manual_review_accepted_marks_only_4_59,step_rate_median_px_s,median consecutive-step rate,82.309,80.0,35.763,20.0,1920,0.014964198,2389.9,1.29
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,0.5,1920,0.001373992,26028.7,14.054
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,1.0,1920,0.002747985,13014.3,7.027
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,2.0,1920,0.005495969,6507.2,3.514
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,4.0,1920,0.010991938,3253.6,1.757
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,8.0,1920,0.021983876,1626.8,0.878
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,10.0,1920,0.027479845,1301.4,0.703
manual_review_accepted_marks_only_4_59,step_rate_p95_px_s,p95 consecutive-step rate,302.3,80.0,35.763,20.0,1920,0.054959691,650.7,0.351
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,0.5,1920,0.000845285,42309.1,22.845
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,1.0,1920,0.00169057,21154.5,11.423
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,2.0,1920,0.003381139,10577.3,5.711
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,4.0,1920,0.006762278,5288.6,2.856
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,8.0,1920,0.013524556,2644.3,1.428
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,10.0,1920,0.016905695,2115.5,1.142
phase_all: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,20.0,1920,0.033811391,1057.7,0.571
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,0.5,1920,0.001010173,35403.0,19.116
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,1.0,1920,0.002020346,17701.5,9.558
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,2.0,1920,0.004040692,8850.8,4.779
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,4.0,1920,0.008081383,4425.4,2.39
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,8.0,1920,0.016162767,2212.7,1.195
