video,frame_index,approx_second,candidate_count,best_x,best_y,dx_from_center,dy_from_center,bbox_w,bbox_h,area,mean_luma,confidence,note
DOD_111688964,101,20.0,30,503.2,294.2,23.2,24.2,23,31,305,197.9,low,multiple compact white candidates
DOD_111688964,102,20.2,28,499.8,284.5,19.8,14.5,23,21,290,202.0,medium,multiple compact white candidates
DOD_111688964,103,20.4,34,490.7,281.7,10.7,11.7,24,21,282,202.2,medium,multiple compact white candidates
DOD_111688964,104,20.6,40,481.2,278.0,1.2,8.0,23,18,255,202.2,medium,multiple compact white candidates
DOD_111688964,105,20.8,33,568.8,329.1,88.8,59.1,32,19,352,185.9,low,multiple compact white candidates
DOD_111688964,106,21.0,23,467.1,273.7,-12.9,3.7,8,18,100,203.2,medium,multiple compact white candidates
DOD_111688964,107,21.2,40,446.4,269.5,-33.6,-0.5,14,17,171,201.3,medium,multiple compact white candidates
DOD_111688964,108,21.4,34,435.1,266.3,-44.9,-3.7,24,20,175,200.5,medium,multiple compact white candidates
DOD_111688964,109,21.6,43,421.1,262.9,-58.9,-7.1,21,16,140,203.9,medium,multiple compact white candidates

