asset_url,asset_filename,asset_extension,manifest_types,record_ids,record_count,agencies,local_exact_filename_match,local_bytes,local_source_path,titles
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf,65_hs1-834228961_62-hq-83894_section_4.pdf,.pdf,PDF,,1,FBI,yes,92073029,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_4.pdf,65_HS1-834228961_62-HQ-83894_Section_004
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_5.pdf,65_hs1-834228961_62-hq-83894_section_5.pdf,.pdf,PDF,,1,FBI,yes,58041955,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_5.pdf,65_HS1-834228961_62-HQ-83894_Section_005
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,65_hs1-834228961_62-hq-83894_section_6.pdf,.pdf,PDF,,1,FBI,yes,370571478,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_6.pdf,65_HS1-834228961_62-HQ-83894_Section_006
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf,65_hs1-834228961_62-hq-83894_section_7.pdf,.pdf,PDF,,1,FBI,yes,62687106,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_7.pdf,65_HS1-834228961_62-HQ-83894_Section_007
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf,65_hs1-834228961_62-hq-83894_section_8.pdf,.pdf,PDF,,1,FBI,yes,120391107,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_8.pdf,65_HS1-834228961_62-HQ-83894_Section_008
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_9.pdf,65_hs1-834228961_62-hq-83894_section_9.pdf,.pdf,PDF,,1,FBI,yes,91452111,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_section_9.pdf,65_HS1-834228961_62-HQ-83894_Section_009
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf,65_hs1-834228961_62-hq-83894_serial_130.pdf,.pdf,PDF,,1,FBI,yes,106690293,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_130.pdf,65_HS1-834228961_62-HQ-83894_Serial_130
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,65_hs1-834228961_62-hq-83894_serial_153.pdf,.pdf,PDF,,1,FBI,no,,,65_HS1-834228961_62-HQ-83894_Serial_153
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_164.pdf,65_hs1-834228961_62-hq-83894_serial_164.pdf,.pdf,PDF,,1,FBI,yes,30938461,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_164.pdf,65_HS1-834228961_62-HQ-83894_Serial_164
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_220.pdf,65_hs1-834228961_62-hq-83894_serial_220.pdf,.pdf,PDF,,1,FBI,yes,8421314,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_220.pdf,65_HS1-834228961_62-HQ-83894_Serial_220
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_403.pdf,65_hs1-834228961_62-hq-83894_serial_403.pdf,.pdf,PDF,,1,FBI,yes,5745008,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_403.pdf,65_HS1-834228961_62-HQ-83894_Serial_403
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_438.pdf,65_hs1-834228961_62-hq-83894_serial_438.pdf,.pdf,PDF,,1,FBI,yes,15143657,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_438.pdf,65_HS1-834228961_62-HQ-83894_Serial_438
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_449.pdf,65_hs1-834228961_62-hq-83894_serial_449.pdf,.pdf,PDF,,1,FBI,yes,12499481,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_serial_449.pdf,65_HS1-834228961_62-HQ-83894_Serial_449
https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_sub_a.pdf,65_hs1-834228961_62-hq-83894_sub_a.pdf,.pdf,PDF,,1,FBI,yes,49325139,I:\My Drive\UFO\65_hs1-834228961_62-hq-83894_sub_a.pdf,65_HS1-834228961_62-HQ-83894_SUB_A
https://www.war.gov/medialink/ufo/release_1/dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,.pdf,PDF,,1,Department of State,yes,301285,I:\My Drive\UFO\dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,"State Department UAP Cable 001, Papua New Guinea, January 28, 1985"
https://www.war.gov/medialink/ufo/release_1/dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,.pdf,PDF,,1,Department of State,yes,370719,I:\My Drive\UFO\dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,"State Department UAP Cable 002, Kazakhstan, January 31, 1994"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf,dow-uap-d10-mission-report-middle-east-may-2022.pdf,.pdf,PDF; VID,DOW-UAP-D010; DOW-UAP-PR019,2,Department of War,yes,663290,I:\My Drive\UFO\dow-uap-d10-mission-report-middle-east-may-2022.pdf,"DOW-UAP-D010, Mission Report, Middle East, May 2022 | DOW-UAP-PR019, Unresolved UAP Report, Middle East, May 2022"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf,dow-uap-d12-mission-report-iraq-may-2022.pdf,.pdf,PDF,DOW-UAP-D012,1,Department of War,yes,670302,I:\My Drive\UFO\dow-uap-d12-mission-report-iraq-may-2022.pdf,"DOW-UAP-D012, Mission Report, Iraq, May 2022"
