video,release_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,object_x_center_crop,object_y_center_crop,object_x_full_frame,object_y_full_frame,dx_from_crop_center,dy_from_crop_center,predicted_x_center_crop,predicted_y_center_crop,prev_seed_second,next_seed_second,seed_confidence,seed_note,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,marking_basis,annotated_frame_path,zoom_patch_path
DOD_111689115.mp4,DOW-UAP-PR44,10,156.0,4680,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,352.5,217.6,832.5,487.6,-127.5,-52.4,327.0,205.7,156.0,156.0,high,single compact white candidate,28.11,4,4,13,253,212.46,1,100.14,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0010_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,11,156.2,4686,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,345.6,214.7,825.5,484.6,-134.4,-55.3,317.5,200.0,156.0,157.0,high,interpolated between one-fps seed detections,31.65,6,4,20,252,197.7,1,101.94,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0011_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,12,156.4,4692,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,328.6,206.9,808.6,476.9,-151.4,-63.1,308.0,194.2,156.0,157.0,high,interpolated between one-fps seed detections,24.13,6,5,25,255,198.8,1,96.4,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0012_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,13,156.6,4698,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,321.0,203.3,801.0,473.3,-159.0,-66.7,298.6,188.5,156.0,157.0,high,interpolated between one-fps seed detections,26.86,7,5,26,254,206.27,1,95.86,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0013_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,14,156.8,4704,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,306.4,196.2,786.4,466.2,-173.6,-73.8,289.1,182.7,156.0,157.0,high,interpolated between one-fps seed detections,21.97,6,5,25,255,207.52,1,97.06,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0014_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,15,157.0,4710,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,296.0,189.7,776.0,459.7,-184.0,-80.3,279.6,177.0,157.0,157.0,high,single compact white candidate,20.74,7,6,32,255,212.19,1,100.97,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0015_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,16,157.2,4716,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,289.2,185.5,769.2,455.5,-190.8,-84.5,274.6,172.2,157.0,158.0,high,interpolated between one-fps seed detections,19.64,9,6,42,255,213.93,1,104.15,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0016_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,17,157.4,4722,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,283.4,180.4,763.4,450.4,-196.6,-89.6,269.7,167.5,157.0,158.0,high,interpolated between one-fps seed detections,18.89,8,6,37,255,201.14,1,108.62,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0017_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,18,157.6,4728,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,276.8,174.7,756.8,444.7,-203.2,-95.3,264.7,162.7,157.0,158.0,high,interpolated between one-fps seed detections,17.04,7,7,39,255,203.69,1,114.28,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0018_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,19,157.8,4734,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,272.1,169.7,752.1,439.7,-207.9,-100.3,259.8,158.0,157.0,158.0,high,interpolated between one-fps seed detections,17.07,8,7,41,255,211.17,1,119.27,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0019_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,20,158.0,4740,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,267.1,165.2,747.1,435.2,-212.9,-104.8,254.8,153.2,158.0,158.0,high,single compact white candidate,17.18,9,6,41,255,204.34,1,123.82,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0020_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,21,158.2,4746,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,261.2,159.6,741.2,429.6,-218.8,-110.4,250.6,148.8,158.0,159.0,high,interpolated between one-fps seed detections,15.08,7,6,32,255,201.41,1,129.38,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0021_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,22,158.4,4752,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,257.7,155.8,737.7,425.8,-222.3,-114.2,246.4,144.5,158.0,159.0,high,interpolated between one-fps seed detections,15.98,8,7,39,254,205.82,1,133.82,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0022_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,23,158.6,4758,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,253.7,151.9,733.6,421.9,-226.3,-118.1,242.3,140.1,158.0,159.0,high,interpolated between one-fps seed detections,16.4,8,7,40,255,208.7,1,138.17,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0023_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,24,158.8,4764,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,248.8,146.5,728.8,416.5,-231.2,-123.5,238.1,135.8,158.0,159.0,high,interpolated between one-fps seed detections,15.15,8,8,42,255,211.21,1,142.29,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0024_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,25,159.0,4770,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,243.9,141.6,723.9,411.6,-236.1,-128.4,233.9,131.4,159.0,159.0,high,single compact white candidate,14.24,8,6,41,255,214.73,1,147.95,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0025_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,26,159.2,4776,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,239.8,137.3,719.8,407.3,-240.2,-132.7,229.4,128.3,159.0,160.0,high,interpolated between one-fps seed detections,13.75,8,7,41,255,210.61,1,152.56,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0026_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,27,159.4,4782,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,234.6,132.2,714.6,402.2,-245.4,-137.8,224.8,125.2,159.0,160.0,high,interpolated between one-fps seed detections,12.08,8,7,40,255,220.88,1,159.93,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0027_patch.jpg
