residual_id,record_id,release_tag,dvids_id,dvids_url,matched_terms,priority_band,current_lane_status,page_fetch_status,resolved_page_url,dvids_title,dvids_filename,dvids_duration,embedded_public_mp4_url,mp4_head_status,mp4_content_length,mp4_content_length_mb,mp4_content_type,source_acquisition_status,recommended_next_action,accessed_utc
DOW-UAP-PR067-METADATA-001,DOW-UAP-PR067,release-02,1007779,https://www.dvidshub.net/video/1007779,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007779/dow-uap-pr067-multiple-spherical-uap-uso-near-sub-callsign-2022-03-25-and-out-water,"DOW-UAP-PR067, ""Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water""",DOD_111720696,00:04:50,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720696/DOD_111720696.mp4,http_200,161108257,153.64,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR068-METADATA-001,DOW-UAP-PR068,release-02,1007780,https://www.dvidshub.net/video/1007780,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007780/dow-uap-pr068-iir-1-666-s0151-23-video-footage-unidentified-aerial-phenomenon-uap-captured-fifth-generation-aircraft,"DOW-UAP-PR068, ""IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23""",DOD_111720698,00:01:03,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720698/DOD_111720698.mp4,http_200,16388514,15.63,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR070-METADATA-001,DOW-UAP-PR070,release-02,1007783,https://www.dvidshub.net/video/1007783,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007783/dow-uap-pr070-iir-1-655-s0301-23-eglin-afb-aircrew-observed-unidentified-aerial-phenomena-uap-13-feb-23,"DOW-UAP-PR070, ""IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23""",DOD_111720720,00:00:30,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720720/DOD_111720720.mp4,http_200,37550237,35.81,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR071-METADATA-001,DOW-UAP-PR071,release-02,1007784,https://www.dvidshub.net/video/1007784,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007784/dow-uap-pr071-usaf-ang-f-16c-callsign-callsign-shoots-down-uap-over-lake-huron-with-weapon-system-12-feb,"DOW-UAP-PR071, ""USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023""",DOD_111720731,00:00:46,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720731/DOD_111720731.mp4,http_200,4882300,4.66,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR072-METADATA-001,DOW-UAP-PR072,release-02,1007788,https://www.dvidshub.net/video/1007788,altered,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007788/dow-uap-pr072-administrative-revision-iir-1777-j0032-22-kazakhstan-uap-vicinity-karaganda-international-airport,"DOW-UAP-PR072, ""ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport""",DOD_111720752,00:00:17,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720752/DOD_111720752.mp4,http_200,3879489,3.70,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR075-METADATA-001,DOW-UAP-PR075,release-02,1007795,https://www.dvidshub.net/video/1007795,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007795/dow-uap-pr075-09jun2021-platform-observed-uap-ecs,"DOW-UAP-PR075, ""09JUN2021 [Platform] observed UAP in the ECS""",DOD_111720809,00:00:23,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720809/DOD_111720809.mp4,http_200,19009940,18.13,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR076-METADATA-001,DOW-UAP-PR076,release-02,1007804,https://www.dvidshub.net/video/1007804,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007804/dow-uap-pr076-03-january-2021-callsign-mission-observes-uap,"DOW-UAP-PR076, ""03 January 2021 [CALLSIGN] (Mission) observes UAP""",DOD_111720857,00:04:57,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720857/DOD_111720857.mp4,http_200,85356068,81.40,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR077-METADATA-001,DOW-UAP-PR077,release-02,1007809,https://www.dvidshub.net/video/1007809,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007809/dow-uap-pr077-2-november-2020-callsign-callsign-observes-and-tracks-uap-1-2,"DOW-UAP-PR077, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 1 of 2""",DOD_111720884,00:04:58,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720884/DOD_111720884.mp4,http_200,81019965,77.27,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR078-METADATA-001,DOW-UAP-PR078,release-02,1007812,https://www.dvidshub.net/video/1007812,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007812/dow-uap-pr078-2-november-2020-callsign-callsign-observes-and-tracks-uap-2-2,"DOW-UAP-PR078, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2""",DOD_111720890,00:04:58,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720890/DOD_111720890.mp4,http_200,73021645,69.64,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR080-METADATA-001,DOW-UAP-PR080,release-02,1007803,https://www.dvidshub.net/video/1007803,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007803/dow-uap-pr080-20-october-2020-callsign-callsign-observes-uap,"DOW-UAP-PR080, ""20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP",DOD_111720856,00:04:54,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720856/DOD_111720856.mp4,http_200,57312113,54.66,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR081-METADATA-001,DOW-UAP-PR081,release-02,1007805,https://www.dvidshub.net/video/1007805,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007805/dow-uap-pr081-18-oct-2020-callsign-observes-uap,"DOW-UAP-PR081, ""18 Oct 2020 [CALLSIGN] observes UAP",DOD_111720858,00:04:59,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720858/DOD_111720858.mp4,http_200,45125826,43.04,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
