source_row,manifest_retrieval_source,manifest_retrieval_note,record_id,title,type,family,agency,release_date,incident_date,incident_location,redaction_flag,video_pairing,pdf_pairing,dvids_video_id,dvids_url,dvids_video_title,asset_url,asset_filename,asset_extension,thumbnail_url,thumbnail_filename,local_exact_filename_match,local_bytes,local_source_path,description_blurb
64,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D044,"DOW-UAP-D044, Range Fouler Reporting Form, Gulf of Aden, October 2020",PDF,range fouler,Department of War,5/8/26,10/15/20,Arabian Sea,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d44-range-fouler-arabian-sea-october-2020.jpg,dow-uap-d44-range-fouler-arabian-sea-october-2020.jpg,yes,297873,I:\My Drive\UFO\dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,"This document is a Range Fouler Reporting Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. A U.S. military operator reported observing a “round, cold object” via infrared sensor, traveling at 319 degrees (northwest) at approximately 20 mph. The report describes the UAP making “abrupt directional changes” during the event. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
65,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D048,"DOW-UAP-D048, Department of the Air Force Report, 1996",PDF,air force report,Department of War,5/8/26,9/10/96,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf,dow-uap-d48-report-september-1996.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d48-report-september-1996.jpg,dow-uap-d48-report-september-1996.jpg,yes,22495083,I:\My Drive\UFO\dow-uap-d48-report-september-1996.pdf,"This report describes the Modeling of Unlikely Space-Booster Failures in Risk Calculations, documenting historical launch failure modes and recommending corrective actions to address them using novel modelling techniques."
66,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D049,"DOW-UAP-D049, Launch Summary, Vandenberg AFB, 2000",PDF,launch summary,Department of War,5/8/26,2/3/00,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d49-launch-summary-february-2000.pdf,dow-uap-d49-launch-summary-february-2000.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d49-launch-summary-february-2000.jpg,dow-uap-d49-launch-summary-february-2000.jpg,yes,9090715,I:\My Drive\UFO\dow-uap-d49-launch-summary-february-2000.pdf,This report summarizes the historical record of launches occurring at Vandenberg Air Force Base between 1958 and 2000.
67,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D050,"DOW-UAP-D050, Email Correspondence, INDOPACOM, April 2025",PDF,email correspondence,Department of War,5/8/26,4/10/2025-4/11/2025,N/A,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d50-email-correspondence-indopacom-april-2025.jpg,dow-uap-d50-email-correspondence-indopacom-april-2025.jpg,yes,312451,I:\My Drive\UFO\dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,This document is email correspondence describing the content of a mission report and requesting clarification on its content. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.
68,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D051,"DOW-UAP-D051, Email Correspondence, Pacific Time Zone, March 2023",PDF,email correspondence,Department of War,5/8/26,3/23/26,Pacific Time Zone,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.jpg,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.jpg,yes,76470,I:\My Drive\UFO\dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,This document is email correspondence describing the content of a mission report and requesting clarification on its content. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.
69,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D052,"DOW-UAP-D052, Email Correspondance, NA, August 2024",PDF,email correspondence,Department of War,5/8/26,10/31/24,N/A,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,dow-uap-d52-email-correspondance-na-august-2024.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d52-email-correspondance-na-august-2024.jpg,dow-uap-d52-email-correspondance-na-august-2024.jpg,yes,66874,I:\My Drive\UFO\dow-uap-d52-email-correspondance-na-august-2024.pdf,This document is email correspondence describing the content of a mission report and requesting clarification on its content. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.
70,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D054,"DOW-UAP-D054, Mission Report, Mediterranean Sea, NA",PDF,mission report,Department of War,5/8/26,N/A,Mediterranean Sea,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,dow-uap-d54-mission-report-mediterranean-sea-na.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d54-mission-report-mediterranean-sea-na.jpg,dow-uap-d54-mission-report-mediterranean-sea-na.jpg,yes,20095,I:\My Drive\UFO\dow-uap-d54-mission-report-mediterranean-sea-na.pdf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report Unidentified Anomalous Phenomena (UAP) to AARO. The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. A U.S. military operator reported observing one UAP. The report describes the UAP as a “triangular and metallic UAP.” The reporter estimated the UAP’s altitude as 24,989 feet and speed as 168 knots (193mph). All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
71,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D055,"DOW-UAP-D055, Mission Report, Syria, November 2016",PDF,mission report,Department of War,5/8/26,11/18/16,Syria,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,dow-uap-d55-mission-report-syria-november-2016.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d55-mission-report-syria-november-2016.jpg,dow-uap-d55-mission-report-syria-november-2016.jpg,yes,207227,I:\My Drive\UFO\dow-uap-d55-mission-report-syria-november-2016.pdf,"This document is a mission briefing summarizing an observation of Unidentified Anomalous Phenomena (UAP) by a U.S. military platform near Latakia, Syria. A U.S. military pilot flying a P-8A aircraft reported observing an object via the aircraft’s EO/IR sensor, which they characterized as appearing to be in “sea skim mode,” traveling at approximately 500 knots (575 mph) on a southeasterly heading. The P-8A lost visual contact with the object after two minutes. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
72,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D056,"DOW-UAP-D056, Range Fouler Debrief, Arabian Sea, August 2020",PDF,range fouler,Department of War,5/8/26,8/24/20,Arabian Sea,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.jpg,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.jpg,yes,1849972,I:\My Drive\UFO\dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,"This document is a Range Fouler Debrief Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. A U.S. military operator reported an encounter with a group of three “unidentified small air contacts” over the North Arabian Sea. The reporter described the UAP as having “wings/airframe” structure, and as initially bearing on a westerly heading. The operator tracked one UAP before losing sight of it behind a cloud. Upon regaining contact, the operator reported observing two additional UAP to the east of the first. The report states that all three objects then “appeared to maintain their relative course, speed, and altitude.” All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
73,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D057,"DOW-UAP-D057, Range Fouler Reporting Form, Gulf of Aden, September 2020",PDF,range fouler,Department of War,5/8/26,9/4/20,Gulf of Aden,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d57-mission-report-gulf-of-aden-september-2020.jpg,dow-uap-d57-mission-report-gulf-of-aden-september-2020.jpg,yes,295447,I:\My Drive\UFO\dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,"This document is a Range Fouler Reporting Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. A U.S. military operator reported tracking a “round, cold object” over the Gulf of Aden for eight minutes via “black hot” IR sensor, making the UAP appear “bright white.” The report states that the UAP was “traveling 168 degrees at 277 mph” and “made a few abrupt directional changes” during the encounter. All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
74,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D058,"DOW-UAP-D058, Range Fouler Debrief, NA, October 2020",PDF,range fouler,Department of War,5/8/26,10/27/20,N/A,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d58-range-fouler-debrief-na-october-2020.jpg,dow-uap-d58-range-fouler-debrief-na-october-2020.jpg,yes,301419,I:\My Drive\UFO\dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. A U.S. military operator reported an encounter with a group of two UAP. The operator described the UAP as “balloon-shaped,” metallic, and reflective, characterizing them as “2x red blinking strobes.” The report states that “one range fouler was circling around the other.” All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
75,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D060,"DOW-UAP-D060, Mission Report, Arabian Gulf, August 2020",PDF,mission report,Department of War,5/8/26,8/8/20,Arabian Gulf,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d60-mission-report-persian-gulf-august-2020.jpg,dow-uap-d60-mission-report-persian-gulf-august-2020.jpg,yes,2412310,I:\My Drive\UFO\dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report Unidentified Anomalous Phenomena (UAP) to AARO. The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. A U.S. military operator reported observing one UAP. The report describes the UAP as “transiting” and notes it had “no impact to mission.” The report also states that “dense cloud coverage intermittently impacted FMV collection.” All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
