track,event_id,approx_second,heading_delta_deg,vector_span_seconds,turn_rate_deg_s,implied_turn_radius_at_80mph_m,implied_turn_radius_at_80mph_nm,note
manual_review_track_all_4_59,PR34-T01,12.0,65.3,3.0,21.767,94.1,0.0508,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T02,15.0,116.8,3.0,38.933,52.6,0.0284,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T03,18.0,87.1,3.0,29.033,70.6,0.0381,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T04,32.5,168.6,3.0,56.2,36.5,0.0197,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T05,35.5,92.3,3.0,30.767,66.6,0.036,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T06,39.0,81.6,3.0,27.2,75.3,0.0407,image-plane heading-change event; not a physical turn radius without sensor/platform geometry
manual_review_track_all_4_59,PR34-T07,42.5,61.5,3.0,20.5,100.0,0.054,image-plane heading-change event; not a physical turn radius without sensor/platform geometry

