record_id,release_tag,dvids_id,dvids_url,matched_terms,source_video,source_url,local_path_not_redistributed,source_exists_at_run,source_bytes,expected_bytes,sha256,opencv_width,opencv_height,opencv_fps,opencv_frames,opencv_duration_seconds,source_media_boundary
DOW-UAP-PR055,release-02,1007713,https://www.dvidshub.net/video/1007713,zoom,DOD_111719732.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719732/DOD_111719732.mp4,source-files-not-included/DOD_111719732.mp4,yes,17638967,17638967,39948c8102f6bdeba4baeff7239ca83a810eb7d5ee686934234965a49f8571a7,1920,1080,30.000,1418,47.267,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR057A,release-02,1007720,https://www.dvidshub.net/video/1007720,"field-of-view, zoom",DOD_111719752.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719752/DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,yes,32245123,32245123,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR057B,release-02,1007720,https://www.dvidshub.net/video/1007720,"field-of-view, zoom",DOD_111719752.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719752/DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,yes,32245123,32245123,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR062,release-02,1007739,https://www.dvidshub.net/video/1007739,"field-of-view, zoom",DOD_111719847.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719847/DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,yes,152419204,152419204,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR074,release-02,1007791,https://www.dvidshub.net/video/1007791,"field-of-view, zoom",DOD_111720775.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720775/DOD_111720775.mp4,source-files-not-included/DOD_111720775.mp4,yes,77412815,77412815,d0b8800146dfc84e7d1fd40ff400c5d813cb8139dc7cfcf9b9e1ea189c6e8b47,1280,720,30.000,8570,285.667,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR079,release-02,1007816,https://www.dvidshub.net/video/1007816,"field-of-view, zoom",DOD_111720899.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720899/DOD_111720899.mp4,source-files-not-included/DOD_111720899.mp4,yes,68997343,68997343,88279ac587d31a8b1129426eea91175f193015a420e3774966ec3ab4e013ceb3,1920,1080,30.000,7217,240.567,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR083,release-02,1007808,https://www.dvidshub.net/video/1007808,"field-of-view, zoom",DOD_111720883.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720883/DOD_111720883.mp4,source-files-not-included/DOD_111720883.mp4,yes,49591522,49591522,25da235c0b86f451f6a82e4589459707ad0897533d9aa8e4c8c57b099bb55b63,1280,720,30.000,8222,274.067,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR088,release-02,1007800,https://www.dvidshub.net/video/1007800,"field-of-view, zoom",DOD_111720843.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720843/DOD_111720843.mp4,source-files-not-included/DOD_111720843.mp4,yes,65470569,65470569,0e961dd8c5d4417c8a7319411674a5a3057fae0fd28c341aa2829b6cfc396a96,1280,720,30.000,8964,298.800,source MP4 retained outside Git; manifest only committed
DOW-UAP-PR097,release-02,1007728,https://www.dvidshub.net/video/1007728,"field-of-view, zoom",DOD_111719813.mp4,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719813/DOD_111719813.mp4,source-files-not-included/DOD_111719813.mp4,yes,102201405,102201405,0a3fa02a7ce357649d1a5d5b4bebc0a323b64101981fa10997eb0b579c710e90,1280,720,30.000,8982,299.400,source MP4 retained outside Git; manifest only committed
