artifact_type,path,note
source_video,I:/My Drive/UFO/DOD_111688809.mp4,source video used for PR23/D18 review
patch_sheet,research/ufo-derived/video-motion-pass/pr23-d18-diagonal-review/DOD_111688809/DOD_111688809-pr23-d18-upper-right-exit-patches.jpg,upper-right diagonal/exit candidate patches
annotated_sheet,research/ufo-derived/video-motion-pass/pr23-d18-diagonal-review/DOD_111688809/DOD_111688809-pr23-d18-diagonal-annotated.jpg,"full-frame diagonal line, expected points, and residual candidates"

