asset_url,asset_filename,asset_extension,manifest_types,record_ids,record_count,agencies,local_exact_filename_match,local_bytes,local_source_path,titles
https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,.pdf,PDF,CIA-UAP-D001,1,Central Intelligence Agency,no,,,"CIA-UAP-D001, Intelligence Information Report, USSR, 1973"
https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D001_PANTEX_Image.pdf,DOE-UAP-D001_PANTEX_Image.pdf,.pdf,PDF,DOE-UAP-D001,1,Department of Energy,no,,,"DOE-UAP-D001, Enhanced PANTEX Imagery"
https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D002_JamesTuck_Correspondence.pdf,DOE-UAP-D002_JamesTuck_Correspondence.pdf,.pdf,PDF,DOE-UAP-D002,1,Department of Energy,no,,,"DOE-UAP-D002, James Tuck Correspondence, 1970s"
https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D003_Pajarito_Astronomers.pdf,DOE-UAP-D003_Pajarito_Astronomers.pdf,.pdf,PDF,DOE-UAP-D003,1,Department of Energy,no,,,"DOE-UAP-D003, Pajarito Astronomers Invitation, 1986"
https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,.pdf,PDF,DOW-UAP-D017,1,Department of War,no,,,"DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950"
https://www.war.gov/medialink/ufo/052226/release_02/documents/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,.pdf,PDF,ODNI-UAP-D001,1,Office of the Director of National Intelligence,no,,,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official"
