record_id,release_tag,source_video,source_path_not_redistributed,source_sha256,opencv_width,opencv_height,opencv_fps,opencv_frames,opencv_duration_seconds,sample_step_seconds,second,frame_index,roi,ocr_text,normalized_text,meter_label_candidate,candidate_rule,source_media_boundary
DOW-UAP-PR057B,release-02,DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,30,30,900,right_display_strip,mS we “eo,MS WE EO,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR057B,release-02,DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,30,60,1800,center_reticle,a - + Kh. ap mh,A KH AP MH,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR057B,release-02,DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,30,60,1800,upper_display_strip,,,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR057B,release-02,DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,30,60,1800,lower_display_strip,.,,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR057B,release-02,DOD_111719752.mp4,source-files-not-included/DOD_111719752.mp4,43d114fa153fa86523832e35bc9731883a67dd6bc9ea1d34c7afd5a83fe5e570,1920,1080,30.000,2129,70.967,30,60,1800,right_display_strip,: =,,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR062,release-02,DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,30,0,0,center_reticle,{i — t > & ~ &,I T,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR062,release-02,DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,30,0,0,upper_display_strip,—— 86,86,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR062,release-02,DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,30,0,0,lower_display_strip,a,A,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR062,release-02,DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,30,0,0,right_display_strip,,,no,,source MP4 retained outside Git; OCR text only committed
DOW-UAP-PR062,release-02,DOD_111719847.mp4,source-files-not-included/DOD_111719847.mp4,951b0da58cab77ef2aa2de357df6126cccc9c03823072189f6d83c8da7e5f850,1280,720,30.000,8687,289.567,30,30,900,center_reticle,¥ a -% a 4 - 8 vo i fe ib @ &.! w.. a ae 2 +,A A 4 8 VO I FE IB W A AE 2,no,,source MP4 retained outside Git; OCR text only committed
