video,dense_frame_index,approx_second,source_frame_index,object_x_full_frame,object_y_full_frame,dx_from_frame_center,dy_from_frame_center,predicted_x_from_manual_seed,predicted_y_from_manual_seed,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,nearest_colored_overlay_px,overlay_relation,review_confidence,nearest_seed_quality,manual_seed_match,manual_control_delta_px,phase,nearest_seed_caveat,marking_basis,raw_frame_path,annotated_frame_path,zoom_patch_path
DOD_111689030.mp4,297,59.4,1782,785.5,470.5,-174.5,-69.5,784.6,469.8,1.18,17,18,202,255,216.65,68.67,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0297.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0297_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0297_patch.jpg
DOD_111689030.mp4,298,59.6,1788,791.4,476.9,-168.6,-63.1,791.4,478.2,1.28,15,20,184,255,211.68,62.08,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0298.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0298_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0298_patch.jpg
DOD_111689030.mp4,299,59.8,1794,799.9,486.2,-160.1,-53.8,798.2,486.6,1.75,12,21,177,255,212.79,52.66,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0299.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0299_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0299_patch.jpg
DOD_111689030.mp4,300,60.0,1800,805.2,495.0,-154.8,-45.0,805.0,495.0,0.23,17,16,183,255,214.61,43.97,separate from colored overlay,high,high,yes,0.23,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0300.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0300_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0300_patch.jpg
DOD_111689030.mp4,301,60.2,1806,808.6,503.6,-151.4,-36.4,808.6,503.0,0.6,17,19,184,255,214.99,36.43,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0301.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0301_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0301_patch.jpg
DOD_111689030.mp4,302,60.4,1812,810.8,508.2,-149.2,-31.8,812.2,511.0,3.13,14,20,182,255,219.74,33.95,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0302.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0302_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0302_patch.jpg
DOD_111689030.mp4,303,60.6,1818,816.6,517.8,-143.4,-22.2,815.8,519.0,1.43,14,21,187,255,213.29,25.17,near colored overlay,medium,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0303.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0303_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0303_patch.jpg
DOD_111689030.mp4,304,60.8,1824,818.4,524.5,-141.6,-15.5,819.4,527.0,2.68,12,21,173,255,215.48,19.57,near colored overlay,medium,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0304.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0304_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0304_patch.jpg
DOD_111689030.mp4,305,61.0,1830,822.6,535.2,-137.4,-4.8,823.0,535.0,0.41,15,14,135,255,211.7,9.83,near colored overlay,medium,medium,yes,0.41,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0305.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0305_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0305_patch.jpg
DOD_111689030.mp4,306,61.2,1836,826.5,540.5,-133.5,0.5,825.0,541.4,1.76,12,14,113,255,217.93,4.52,intersects colored overlay,medium,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0306.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0306_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0306_patch.jpg
