record_id,title,agency,type,release_date,status,asset_url,asset_filename,dvids_video_id,local_exact_filename_match
,18_100754_ General 1946-7_Vol_2,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf,18_100754_ general 1946-7_vol_2.pdf,,yes
,18_6369445_General_1948_Vol_1,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf,18_6369445_general_1948_vol_1.pdf,,yes
,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For,NASA,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,,no
,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,,yes
,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,,yes
,"341_110677_Numerical_File,_5-2500",Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,341_110677_numerical_file_5-2500.pdf,,yes
,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,,yes
,38_143685_box_Incident_Summaries_101-172,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,38_143685_box7_incident_summaries_101-172.pdf,,yes
,38_143685_box_Incident_Summaries_173-233,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,38_143685_box7_incident_summaries_173-233.pdf,,yes
,38_143685_box7_Incident_Summaries_1-100,Department of War,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,38_143685_box7_incident_summaries_1-100.pdf,,no
,59_214434_SP 16 [7.18.1963],Department of State,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_[7.18.1963].pdf,59_214434_sp_16_[7.18.1963].pdf,,yes
,59_64634_711.5612[7-2852,Department of State,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/59_64634_711.5612[7-2852.pdf,59_64634_711.5612[7-2852.pdf,,no
,65_HS1-101634279_100-DE-18221_Serial_844,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf,65_hs1-101634279_100-de-18221_serial_844.pdf,,yes
,65_HS1-101634279_100-DE-26505,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf,65_hs1-101634279_100-de-26505.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_001,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_1.pdf,65_hs1-834228961_62-hq-83894_section_1.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_002,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_2.pdf,65_hs1-834228961_62-hq-83894_section_2.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_003,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_3.pdf,65_hs1-834228961_62-hq-83894_section_3.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_004,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf,65_hs1-834228961_62-hq-83894_section_4.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_005,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_5.pdf,65_hs1-834228961_62-hq-83894_section_5.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_006,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,65_hs1-834228961_62-hq-83894_section_6.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_007,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf,65_hs1-834228961_62-hq-83894_section_7.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_008,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf,65_hs1-834228961_62-hq-83894_section_8.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_009,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_9.pdf,65_hs1-834228961_62-hq-83894_section_9.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Section_010,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_10.pdf,65_hs1-834228961_62-hq-83894_section_10.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_130,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf,65_hs1-834228961_62-hq-83894_serial_130.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_153,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,65_hs1-834228961_62-hq-83894_serial_153.pdf,,no
,65_HS1-834228961_62-HQ-83894_Serial_164,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_164.pdf,65_hs1-834228961_62-hq-83894_serial_164.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_220,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_220.pdf,65_hs1-834228961_62-hq-83894_serial_220.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_403.pdf,65_hs1-834228961_62-hq-83894_serial_403.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_438,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_438.pdf,65_hs1-834228961_62-hq-83894_serial_438.pdf,,yes
,65_HS1-834228961_62-HQ-83894_Serial_449,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_449.pdf,65_hs1-834228961_62-hq-83894_serial_449.pdf,,yes
,65_HS1-834228961_62-HQ-83894_SUB_A,FBI,PDF,5/8/26,existing_asset_url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_sub_a.pdf,65_hs1-834228961_62-hq-83894_sub_a.pdf,,yes
DOW-UAP-D003,"DOW-UAP-D003, Mission Report, Arabian Gulf, 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf,dow-uap-d3-mission-report-arabian-gulf-2020.pdf,,yes
DOW-UAP-D004,"DOW-UAP-D004, Mission Report, Arabian Gulf, 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d4-mission-report-arabian-gulf-2020.pdf,dow-uap-d4-mission-report-arabian-gulf-2020.pdf,,yes
DOW-UAP-D005,"DOW-UAP-D005, Mission Report, Arabian Gulf, 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d5-mission-report-arabian-gulf-2020.pdf,dow-uap-d5-mission-report-arabian-gulf-2020.pdf,,yes
DOW-UAP-D006,"DOW-UAP-D006, Mission Report, Arabian Gulf, 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf,dow-uap-d6-mission-report-arabian-gulf-2020.pdf,,yes
DOW-UAP-D007,"DOW-UAP-D007, Mission Report, Arabian Gulf, 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf,dow-uap-d7-mission-report-arabian-gulf-2020.pdf,,yes
DOW-UAP-D008,"DOW-UAP-D008, Mission Report, Djibouti, 2025",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf,dow-uap-d8-mission-report-djibouti-2025.pdf,,yes
DOW-UAP-D010,"DOW-UAP-D010, Mission Report, Middle East, May 2022",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf,dow-uap-d10-mission-report-middle-east-may-2022.pdf,1006056,yes
DOW-UAP-D012,"DOW-UAP-D012, Mission Report, Iraq, May 2022",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf,dow-uap-d12-mission-report-iraq-may-2022.pdf,,yes
DOW-UAP-D014,"DOW-UAP-D014, Mission Report, Iraq, May 2022",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf,dow-uap-d14-mission-report-iraq-may-2022.pdf,1006059,yes
DOW-UAP-D016,"DOW-UAP-D016, Mission Report, Syria, July 2022",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf,dow-uap-d16-mission-report-syria-july-2022.pdf,1006060,yes
DOW-UAP-D018,"DOW-UAP-D018, Mission Report, Iraq, December 2022",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf,dow-uap-d18-mission-report-iraq-december-2022.pdf,1006062,yes
DOW-UAP-D019,"DOW-UAP-D019, Mission Report, Syria, February 21, 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf,dow-uap-d19-mission-report-syria-february-21-2023.pdf,,yes
DOW-UAP-D020,"DOW-UAP-D020, Mission Report, Iraq, 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-iraq-2023.pdf,dow-uap-d20-mission-report-iraq-2023.pdf,,no
DOW-UAP-D023,"DOW-UAP-D023, Mission Report, United Arab Emirates, October 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,1006063,yes
DOW-UAP-D025,"DOW-UAP-D025, Mission Report, Greece, January 2024",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf,dow-uap-d25-mission-report-greece-january-2024.pdf,,yes
DOW-UAP-D027,"DOW-UAP-D027, Mission Report, United Arab Emirates, October 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,,yes
DOW-UAP-D028,"DOW-UAP-D028, Mission Report, Iraq, September 2024",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d28-mission-report-east-china-sea-2024.pdf,dow-uap-d28-mission-report-east-china-sea-2024.pdf,,yes
DOW-UAP-D032,"DOW-UAP-D032, Mission Report, Syria, October 2024",Department of War,PDF,5/8/26,existing_record_id,"https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf","dow-uap-d32-mission-report,-syria-october-2024.pdf",1006076,yes
DOW-UAP-D033,"DOW-UAP-D033, Mission Report, Greece, October 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf,dow-uap-d33-mission-report-greece-october-2023.pdf,1006080,yes
DOW-UAP-D035,"DOW-UAP-D035, Mission Report, Greece, October 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d35-mission-report-greece-october-2023.pdf,dow-uap-d35-mission-report-greece-october-2023.pdf,1006082,yes
DOW-UAP-D038,"DOW-UAP-D038, Range Fouler Debrief, Middle East, May 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,1006083,yes
DOW-UAP-D042,"DOW-UAP-D042, Range Fouler Debrief, Japan, 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d42-range-fouler-debrief-japan-2023.pdf,dow-uap-d42-range-fouler-debrief-japan-2023.pdf,,yes
DOW-UAP-D044,"DOW-UAP-D044, Range Fouler Reporting Form, Gulf of Aden, October 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,,yes
DOW-UAP-D048,"DOW-UAP-D048, Department of the Air Force Report, 1996",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf,dow-uap-d48-report-september-1996.pdf,,yes
DOW-UAP-D049,"DOW-UAP-D049, Launch Summary, Vandenberg AFB, 2000",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d49-launch-summary-february-2000.pdf,dow-uap-d49-launch-summary-february-2000.pdf,,yes
DOW-UAP-D050,"DOW-UAP-D050, Email Correspondence, INDOPACOM, April 2025",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,,yes
DOW-UAP-D051,"DOW-UAP-D051, Email Correspondence, Pacific Time Zone, March 2023",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,,yes
DOW-UAP-D052,"DOW-UAP-D052, Email Correspondance, NA, August 2024",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,dow-uap-d52-email-correspondance-na-august-2024.pdf,,yes
DOW-UAP-D054,"DOW-UAP-D054, Mission Report, Mediterranean Sea, NA",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,dow-uap-d54-mission-report-mediterranean-sea-na.pdf,,yes
DOW-UAP-D055,"DOW-UAP-D055, Mission Report, Syria, November 2016",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,dow-uap-d55-mission-report-syria-november-2016.pdf,,yes
DOW-UAP-D056,"DOW-UAP-D056, Range Fouler Debrief, Arabian Sea, August 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,,yes
DOW-UAP-D057,"DOW-UAP-D057, Range Fouler Reporting Form, Gulf of Aden, September 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,,yes
DOW-UAP-D058,"DOW-UAP-D058, Range Fouler Debrief, NA, October 2020",Department of War,PDF,5/8/26,existing_record_id,https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,,yes
